Date,Open,High,Low,Close*,Adj Close**,Volume
1-Mar-23,"3,963.34","4,110.75","3,808.86","4,109.31","4,109.31","113,094,800,000"
1-Feb-23,"4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000"
1-Jan-23,"3,853.29","4,094.21","3,794.33","4,076.60","4,076.60","80,763,810,000"
1-Dec-22,"4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000"
1-Nov-22,"3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000"
1-Oct-22,"3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000"
1-Sep-22,"3,936.73","4,119.28","3,584.13","3,585.62","3,585.62","94,241,020,000"
1-Aug-22,"4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000"
1-Jul-22,"3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000"
1-Jun-22,"4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000"
1-May-22,"4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000"
1-Apr-22,"4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000"
1-Mar-22,"4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,546,260,000"
1-Feb-22,"4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000"
1-Jan-22,"4,778.14","4,818.62","4,222.62","4,515.55","4,515.55","95,562,890,000"
1-Dec-21,"4,602.82","4,808.93","4,495.12","4,766.18","4,766.18","92,750,180,000"
1-Nov-21,"4,610.62","4,743.83","4,560.00","4,567.00","4,567.00","88,268,840,000"
1-Oct-21,"4,317.16","4,608.08","4,278.94","4,605.38","4,605.38","80,253,600,000"
1-Sep-21,"4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000"
1-Aug-21,"4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000"
1-Jul-21,"4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000"
1-Jun-21,"4,216.52","4,302.43","4,164.40","4,297.50","4,297.50","102,544,180,000"
1-May-21,"4,191.98","4,238.04","4,056.88","4,204.11","4,204.11","88,321,860,000"
1-Apr-21,"3,992.78","4,218.78","3,992.78","4,181.17","4,181.17","83,124,090,000"
1-Mar-21,"3,842.51","3,994.41","3,723.34","3,972.89","3,972.89","122,371,150,000"
1-Feb-21,"3,731.17","3,950.43","3,725.62","3,811.15","3,811.15","99,082,320,000"
1-Jan-21,"3,764.61","3,870.90","3,662.71","3,714.24","3,714.24","106,117,800,000"
1-Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07","3,756.07","96,375,680,000"
1-Nov-20,"3,296.20","3,645.99","3,279.74","3,621.63","3,621.63","101,247,180,000"
1-Oct-20,"3,385.87","3,549.85","3,233.94","3,269.96","3,269.96","89,938,980,000"
1-Sep-20,"3,507.44","3,588.11","3,209.45","3,363.00","3,363.00","92,310,780,000"
1-Aug-20,"3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","82,466,520,000"
1-Jul-20,"3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","96,928,130,000"
1-Jun-20,"3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,458,880,000"
1-May-20,"2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","107,135,190,000"
1-Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,608,160,000"
1-Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59","2,584.59","162,185,380,000"
1-Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22","2,954.22","84,436,590,000"
1-Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52","3,225.52","77,287,980,000"
1-Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78","3,230.78","72,325,540,000"
1-Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98","3,140.98","72,410,620,000"
1-Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56","3,037.56","77,720,640,000"
1-Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74","2,976.74","74,178,980,000"
